Message,Hatespeech,Sentiment
เข้าคณะวันนี้ทาปากสีชมพูด้วยคอนเซ็ปต์ถ่ายจากดาวอังคารต้องเห็นปากกูชัดคือโดนคนด่าว่าตอแหลเยอะมาก ดีใจมาก ยิ้มรับ ทาแล้วเลือดกะหรี่พุ่งพล่าน,nonhatespeech,Unknown
อยู่ดีๆก็อยากกินข้าวแกงกะหรี่...ทำเองไม่เป็น ไปซื้อแบบสำเร็จรูปมากินละกัน,nonhatespeech,Unknown
"อยากกะหรี่ให้มากกว่ารุ่นพี่ที่ทำงาน
สุดท้ายกูเเพ้",hatespeech,Unknown
"ขนส่ง ยี่ห้อ กะหรี่ นี่ สู้ ไปรษณีย์ไทยไม่ได้เลยจริงๆ 

โทรถามทาง มันทุกครั้งที่จะมาส่ง = =''",hatespeech,Unknown
ผู้ชายเกาะผู้หญิงกิน : แมงดา 😛,nonhatespeech,Unknown
คำพูดที่มันทำให้ดูเป็นคนทัศคติต่ำไปเลย (สำหรับเรา) คือคำว่าประเทศเฮงซวย ประเทศกะลาแลนด์ ประเทศไม่ผิดอะไร คนในประเทศต่างหากที่ทำเรื่องเฮงซวย,nonhatespeech,Unknown
บางคนความคิดก็ต่ำยิ่งกว่าสัตว์เซลล์เดียวอีก,nonhatespeech,Unknown
แบ่งแยกแล้วมึงสูงขึ้นเหรอ? เปล่าค่ะ...ใจมึงอ่ะ_ต่ำ_มาก กศษ.ไม่ช่วยห่าไร เลวด้วยตัวเองล้วนๆ,hatespeech,Unknown
ทุเรียนคือความชั่วร้าย,nonhatespeech,Unknown
ทำไมบางคนถึงสนุกกับการทำตัวหยาบคายหรือพ่นคำหยาบคายในพื้นที่ของคนอื่นอ่ะ รู้เปล่าว่าความถ่อยมันไม่ได้เท่เลย มันต่ำเว้ย..,nonhatespeech,Unknown
"ดี ชั่ว อยู่ที่ ตัว ทำ สูง ต่ำ อยู่ ที่ ทำ ตัว
... คน เรา ทำ อย่าง ไร ก็ ได้ อย่าง นั้น แหละ ...
ฝืน ธรรม ชาติ ไม่ ได้ หรอก",nonhatespeech,Unknown
ไม่มีใครรับในมุมที่แย่ที่สุด จุดต่ำสุด หรือความเลวร้ายที่สุดได้ นอกจากเพื่อน,nonhatespeech,Unknown
"คนอื่นอ่านออกเสียงในใจกันมั้ย
มีเสียงสูง ต่ำ แผ่ว เบา เวลาอ่านทวิตรึเปล่า",nonhatespeech,Unknown
"ต่ำ ต่ำมากๆต่ำสุดๆถูกเลี้ยงมาแบบ
ไหนอ่ะต่ำตมดีจัง",hatespeech,Unknown
อุบาดชาติชั่วที่สุดต่ำตม twitter.com/signxseonho/st…,hatespeech,Unknown
แต่งตัวไม่วาบหวิวมันก็ลวนลามค่ะ ความคิดแม่งชั้นต่ำ,hatespeech,Unknown
เครื่องสักการบูชาของคนชั่วร้ายเป็นสิ่งน่าเกลียดน่าชัง เมื่อเขานำมาด้วยความตั้งใจชั่วจะยิ่งกว่านั้นสักเท่าใด fb.me/6vsjJtdy6,nonhatespeech,Unknown
ฉันเกิดมาเพื่อเป็นแมงดา,hatespeech,Unknown
ถึงพลอจะชั่ว เป็นแมวขโมย เห็นแก่กิน ชอบด่าและกากมาก แต่ก็อบอุ่นที่สุดเลยนะ,nonhatespeech,Unknown
มึงมันเรด ฮึ่ย ไม่รู้จะด่ายังไงแล้ว ไอ้สารชั่ว pic.twitter.com/1sm8ZhLNtj,hatespeech,Unknown
พวกชั่ว กูกลัวผีอะไม่ใช่กูส่องกระจก 😂,nonhatespeech,Unknown
۞ อย่าดูหมิ่นความชั่วว่าเล็กน้อย คงจักไม่มีผลมาถึงตัว,nonhatespeech,Unknown
มึงไม่ควรขอบคุณกูนะ มึงควรขอโทษ ที่พากูไปหลงและส่งไม่ถึงที่ แถมไปไม่ทันนัด คนชั่ว,hatespeech,Unknown
ก็ทำงานส่งไห้มึงเรียน มึงเสือกทำตัวเหี้ยๆ กูอยากตบมึงเด้ อีน้องชั่วอีใจบาป 00000,hatespeech,Unknown
กลิ่นแมงดาโคตรเฟคคคคค แงงงง ฉุนน,nonhatespeech,Unknown
"คราวนี้เอลไม่ทน เลยเดินตรงไปหาแม่งเลยแล้วถามว่านี่อะไร มึงหลอกเพื่อนกูหรอไอ้แมงดา

แบบโรงอาหารคนมันเยอะอยู่แล้ว พอเสียงดังก็หันมองกัน555",hatespeech,Unknown
อหเอ๊ย แมงดาด่าผู้ชายที่เกาะผู้หญิงแล้วผู้หญิงที่เกาะผู้ชายนี่เรียกว่าอะไร,hatespeech,Unknown
วิธีดักแมงดาคือ ทำเป็นพูดว่าจนๆ แล้วเค๊าจะตีจากไปเอง,nonhatespeech,Unknown
โอ๊ยย น่าสงสารมากอ่ะ ไม่ได้ชั่วโดยกำเนิด แต่ชั่วเพราะผู้เลี้ยงดู #มือปราบเจ้าหัวใจ,nonhatespeech,Unknown
ไม่ต่างจากปลิง แมงดา เห็บเลยจ่ะ เป็นผช.ด้วยมาเกาะใช้ชื่อลูกงี้😠,hatespeech,Unknown
อยากดัดสันดานน้องโดยการไม่จ่ายค่าเน็ตบ้าน  อิดอก มึงมันแมงดา คอยแต่ผลาญเงินเคยช่วยอะไรบ้างมั้ย,hatespeech,Unknown
มื้อประหยัด ข้าวไข่เจียวน้ำพริกแมงดา น้ำพริกเอามาจากบ้าน ฟรี pic.twitter.com/oWfz77eF1n,nonhatespeech,Unknown
หนี้ส่วนไหนของแม่กูก็ไม่ใช่ เสือกมาเกาะแม่กูอีก ทำงานถึงแค่เที่ยงจะเอา300 งง ประสาท แมงดา,hatespeech,Unknown
ถ้าไม่มีกลิ่นแมงดาเราก็โอเคนะ 😅,nonhatespeech,Unknown
กะว่าจะเป็นแมงดาไปตลอดชีวิตซะ,hatespeech,Unknown
ขยะสามพันกว่าไฟล์อาศัยอยู่ในคอมฉัน pic.twitter.com/YwYGPNI3mp,nonhatespeech,Unknown
กล้าพูดได้เต็มปาก ทุกวันนี้อยู่ด้วยใจล้วนๆ เงินเดือนเท่าเห็บหมา ทำงานเท่าปลาวาฬ โดนเอาเปรียบเท่าแปซิฟิก ดีดี๊,nonhatespeech,Unknown
สนุกไหมกับการเป็นเห็บหมาดูดเลือดเนื้อคนอื่น ทำนาบนหลังคนเห็นใจกันบ้าง,hatespeech,Unknown
เอาจริงนะ เป็นคนไม่ชอบดึงเห็บ เลี้ยงหมาจะป้องกันตลอด หยอดยาตามกำหนด น่ากลัวๆ fb.me/KW1l8zp6,nonhatespeech,Unknown
หิวข้าว แต่ป้าหาเห็บหมาอยู่,nonhatespeech,Unknown
เปนคนเกลียดเห็บและทาร์ซาน,nonhatespeech,Unknown
สิวเม็ดเท่าเห็บหมา 😤🖕🏻,nonhatespeech,Unknown
แสดงให้เต็มที่ให้สมกับความดีเลิศของว่าที่เจ้าสาวนาย เราบอกตรงนี้เรากับนายไม่มีทางมาลงเอยกันได้แน่นอน เพราะเราเกลียดเห็บเหาที่เกาะอยู่ข้างนาย,hatespeech,Unknown
กูบอกตัวเองไว้ว่าจารีบนอนคืนนี้ ห่าราก มีเรื่องเห็บหมามาอีกกก !!!!,nonhatespeech,Unknown
ฟรีไซส์สมัยนี้ก็ตัวเท่าเห็บหมา อก44แล้วบอกฟรีไซส์ แถวบ้านเรียกไซส์M-L,nonhatespeech,Unknown
เงินเดือนยังกะเห็บหมา ให้งานกูมายังกะโคลงช้าง #มนุษย์เงินเดือน,nonhatespeech,Unknown
ผู้ชายเจ้าชู้ก็เหมือนกับเห็บหมานั้นแหละ #น่าขยะแขยง 🙄,hatespeech,Unknown
ยาหรือเห็บหมาอ่ะหมอ เม็ดจะใหญ่ไปไหนอ่ะ กลัวหนูไม่อิ่มหรอ,nonhatespeech,Unknown
เห็บหมานี่แม่งหายตัวได้รึไงวะ โอ้ยย เลี้ยงกะไม่ได้เลี้ยง(หมา) อ๊ากกก แล้วต้องเดินส่องตามพื้นห้อง อิเหี้ยยยย,nonhatespeech,Unknown
ไฟติด​ ปลวกไม่ขึ้น​ โอเคใช้งานได้​ 😆 pic.twitter.com/7IfDJRhb8Z,nonhatespeech,Unknown
เข้าไอจีตัวเองก็มีแต่รูปของกิน ลงเองหิวเองอีปลวกกก,nonhatespeech,Unknown
ซ่อนความหน้าปลวกภายใต้หน้ากาก😛 pic.twitter.com/V9hCZq5om1,nonhatespeech,Unknown
น้ำหยดลงหินทุกวันหินยังกร่อย ปลวกกัดไม้ทุกวันไม้ยังผุ,nonhatespeech,Unknown
ถ้าจะว่าแบบนั้นก็แล้วแต่ คนของเราได้การยอมรับมากมาย แล้วฉันจะให้ค่ามดปลวกที่เก่งแต่หน้าคีย์บอร์ดทำไม,hatespeech,Unknown
"สูบบุหรี่บ้านมึง
ลมพัดมาบ้านกู .... โอเค
บ้านกูฉีดปลวกไปทางบ้านมึง
ที่ๆพวกมึงนั่งเลย .... หายกัน .",nonhatespeech,Unknown
เกลียดมึงยิ่งกว่าไส้เดือนกิ้งกือด่ากูอีปลวกอีกสิ เอาสิ แก้แค้นที่กูด่ามึงกับเมียว่าตอแหลอะ จะโกรธกูทำไม ก็มึงสองคนตอแหลลงตับจริง ๆอิเหี้ย555,hatespeech,Unknown
วันนี้เลิกงานกลับบ้านเร็ว มีฉีดปลวก เราไม่ใช่ปลวก เราจึงต้องกลับบ้าน,nonhatespeech,Unknown
เจอเม้นท์แย่ๆ จากปลวก หรือจากติ่งด้วยกันเองใน IG แนะนำให้บล๊อคแล้วลบทิ้ง เพราะมันมีนักข่าวชุ่ยๆนั่งส่องแท็กแล้วแคพไปเขียนข่าวด่าทั้งด้อม 🙄,hatespeech,Unknown
"งานเมื่อวานทำไม่ได้ วันนี้ทำได้ชิวๆ
คำคม งานเร็วแต่ปลวก หรือจะสู้งานช้าแต่เป๊ะ",nonhatespeech,Unknown
ฉีดปลวกอะไรกันแต่เช้าวะเนี่ย,nonhatespeech,Unknown
ละจะบอกให้พัฒนานี่ก็บอกแค่พัฒนากีฬานั้นก็พอป่ะ ไม่ใช่มาแซะกีฬาอื่นว่าเปลืองงบ ประสาทแดกเหรอ,hatespeech,Unknown
"แต่ถ้าหากว่าคุณไม่แม้แต่จะรู้ตัวเลยว่าคุณน่ะผิดแล้วยังจะโวยวายโน้นนี่นั่นอิฉันว่าคุณก็ไม่ต่างอะไรกับขยะสังคมนะคะ 
โวยวายไร้เหตุผล สติมาค่ะ!!",hatespeech,Unknown
นี่คนนะไม่ใช่ถังขยะ ทำไมวันนี้ชอบเหวี่ยงนี่กันจัง เป็นฝ่ายถูกนะเนี่ย,nonhatespeech,Unknown
ฝีมือการทำอาหารนั้นใกล้ละ ใกล้ละ ใกล้ถังขยะแล้วเททิ้งได้ไม่ว่ากัน#ควรไปเข้าคอร์สทำอาหาร 😂,nonhatespeech,Unknown
อยู่ห้องร่วมกัน แชร์ห้องกัน ความสะอาดก็ต้องดูปะวะ ขยะในห้องมันเต็มก็ช่วยแบกไปทิ้งด้วยดิ กูเก็บให้ละต้องเอาไปทิ้งให้อีกหรอ กูไม่ทิ้งนะอีเหี้ย,nonhatespeech,Unknown
น่าเกลียดวะ คะแนนก็ไม่ได้เหมือนกันให้กูไปทิ้งขยะคนเดียว ทุเรส เห็นแก่ตัว,hatespeech,Unknown
"จะเผาพริกเผาเกลือแช่งอิพวกขยะแอนตี้ให้หมดเลย เกลียดมันนนนน 
/ร้องไห้แล้วเนี่ย",hatespeech,Unknown
ไม่ผิดที่เราจ้ะเลือก ขอแค่เรามีความสุขในสิ่งที่เเป็น และไม่เป็นขยะสังคมก็พอ #✌️ 1-800-273-8255 fb.me/8veADsBnr,nonhatespeech,Unknown
แต่ไม่ปฏิเสธว่ายังเป็นคนประสาทแดกเหมือนเดิม,hatespeech,Unknown
พูดใส่คนอื่น คนอื่นหน้าเสียก็ไม่สนใจ พอคนอื่นพูดใส่ทำเป็นรับไม่ได้ ประสาท,hatespeech,Unknown
กลัวทุกคนจะจิตตามคนเขียน คนเขียนจิตตามฆาตกรไปแล้วค่ะ ใกล้ประสาทแล้ว 😂,nonhatespeech,Unknown
หลอกขายของปลอมคนอื่นแล้วยังนิ่ง หน้าด้านไปป่าว,hatespeech,Unknown
อย่ามัวเอาแต่ด่า ถามตัวเองก่อนว่าทำหน้าที่ของตัวเองให้ดีรึยัง เอาแค่ทิ้งขยะลงถัง ข้ามสะพานลอยข้ามทางม้าลาย ง่ายๆงี้ทำกันปะ #มือปราบเจ้าหัวใจ,nonhatespeech,Unknown
นี่ก็ไม่รู้ควรไปหาหมออะไรก่อน ระหว่างหมอเส้นประสาทกะจิตแพทย์,nonhatespeech,Unknown
หมอให้ยาระงับประสาทตัวนึงมา กินเข้าไปอาการนั้นดันเป็นหนักกว่าเดิม แถมยานอนหลับก็ไม่ได้ผลแล้วด้วย,nonhatespeech,Unknown
โครตเหี้ย โครตผี โอ้ยย ปวดประสาทกับอีพวกนี้ปัญญาอ่อนเหี้ยๆ แพ้แล้วก็ทำวิธีพวกแพ้ต่อไป เจริญจ้า,hatespeech,Unknown
"เมื่อวานห้องข้างล่างเสียงดังมากทั้งคืนจนนอนไม่ได้ เช้านี้รูมเมทเลยแก้แค้นด้วยการเดินปึงปังลงส้นไปทั่วบ้าน

แต่เรานี่ล่ะจะประสาทกินก่อน โว้ย!",nonhatespeech,Unknown
ทั้งบ้านมีอย่างเดียวที่คุยกันได้คือเรื่องการเมือง นอกนั้นนะ เถียงกันให้ตายไปข้าง ทัศนคติการใช้ชีวิตนี่พังมาก น่าพาไปตรวจประสาทซักหน่อย 🤔,nonhatespeech,Unknown
"กูคงเป็นพวกประสาทกลับ
แล้วแน่ๆ 
นานแล้วด้วย
ใช่ๆ",hatespeech,Unknown
... นั่นไง จุดเริ่มต้นของเรา // จุดเริ่มต้นส้นตีนไรมึง อิควาย กุไม่ตอบแถมบล็อคเลยขร่ รำคาน ถ้าได้คบกันจิงกุคงประสาทแดก ไม่เอาอ่ะ,hatespeech,Unknown
โอ้ยยย กูเกลียดมึงจริงๆ อิกระเทยดอกกทอง ไปอยู่ไหนไม่ได้หรอกมึงอ้ะ เอาแต่ใจตัวเองขนาดนี้ ประสาท!!,hatespeech,Unknown
โชคดีจัง วันนี้ไม่มีคนขาดเวร โชคร้ายจังมาถึงก็เดินไปเปิดห้องเอายาห้องอื่นเลย,nonhatespeech,Unknown
แล้วเป็นกูที่ถูกทิ้งใช่ไหมช่ะ อีเวร ตลอดเวลาอ่ะ เพราะฉะนั้นก็ไม่ต้องถามหรอกว่าทำไมกูไม่เปิดใจอ่ะ,hatespeech,Unknown
ไม่ชอบประโยคที่ว่า ถ้าเราดีเขาจะไปมีคนอื่นหรอ เอ้าอีเวร ก็ถ้ากูดีแล้วมันเหี้ยหล่ะ แฟนไม่ดีก็เลิกแล้วค่อยเริ่มใหม่สิจ้ะ อย่าอ้างเยอะ,nonhatespeech,Unknown
อีนาย อีเวร กูขอแช่งให้มึงอ้วนเป็นหมูแบบนี้ตลอดไป ขอให้มึงไม่มีผัว ขอให้แม่มึงรู้ว่าเมิงเปงตุ้ด!!! อีห่า อีคนเฬว2017  @NINE_P12,hatespeech,Unknown
เป็นเวรดึกที่ทรมานเหี้ยๆ ตานี่แดงก่ำหมดแล้ว ง่วงมาก ยิ่งดึกคนไข้ก็ทยอยเข้าห้องผ่าตัดเรื่อยๆเหมือนเดินพาเหรดเลยจ้ะ รู้ตัวอีกที เช้าแล้ว,nonhatespeech,Unknown
เบื่อ เบื่อที่กูต้องตรงกับความคิดเหี้ยๆของมึง ไม่ตรงคือกูตอแหล บ้าป่าว ประสาท #ยืมเมจfortalk,hatespeech,Unknown
ฮืออออ ไม่ได้ไปนิ แลกเวรใครไม่ได้เลยนิ 😩,nonhatespeech,Unknown
หันมาเล่นทวิตแป๊บเดียวคุกกี้แทบไหม้หมดเตา อีเวร!!!!,nonhatespeech,Unknown
มึงก็เสือกแม่งทุกเรื่องเนาะ อิเวร,hatespeech,Unknown
"ยุง มึงก็แดกแต่เลือดกูนี่หละเนอะ
มึงไม่เบื่อรสชาติน้ำเลือดกูบ้างหรอ เปลี่ยนเป็นคนอื่นบ้าง 
ยุงเวร!",nonhatespeech,Unknown
มึงจะไม่ได้ตายดีแน่นอน เพราะว่ากูตามตัวมึงไวกว่าเวรกรรม,hatespeech,Unknown
เงื่อไขที่โหรชั่วนี่มันสร้างขึ้นทั้งนั้น เวรกรรมมันมีจริง ต่อให้อยู่ในชุดหัวโขนก็เถอะ twitter.com/shutup2557/sta…,hatespeech,Unknown
